IID X.A X.B X.C X.D
AN02 0.0156120980609219 0.0289552985383625 0.944268300706921 0.0111643026937943
AN03 0.0108877097843974 0.0212153072588695 0.95929921689689 0.00859776605984321
AN04 0.0103067720153877 0.0160544234832399 0.967176258453628 0.00646254604774428
CS01 0.0512553459678653 0.0818754139196423 0.826327719294249 0.040541520818244
CS02 0.0615844150958618 0.0815844098676682 0.814456080520567 0.0423750945159027
CS03 0.171597085199244 0.263572208885402 0.434746118403251 0.130084587512103
CS04 0.20586313485124 0.360470850180568 0.258659514104424 0.175006500863768
CS05 0.0111745966307807 0.0138874532520446 0.967575113949992 0.00736283616718314
CS07 0.0147744566054642 0.013082686843124 0.966870423341738 0.00527243320967338
CS08 0.0887293655401192 0.0696363157521097 0.805264482848787 0.0363698358589845
CS09 0.0853256731555636 0.103379105523919 0.759341605194053 0.0519536161264641
CS10 0.0847533545934943 0.0956040608557245 0.772482293248775 0.047160291302006
CS11 0.0157069372213429 0.0158266120089817 0.962101920533575 0.00636453023610042
CS12 0.0162947799941552 0.0153956332379747 0.962324417537364 0.00598516923050607
CS13 0.0828568959125212 0.098098697859783 0.768039534316389 0.051004871911307
CS14 0.105652728812576 0.104797255151924 0.734479901446977 0.0550701145885232
CS15 0.096034686885687 0.116839379037629 0.718391872085011 0.0687340619916734
CS16 0.106959687492687 0.143115005330976 0.677275138498488 0.0726501686778494
CS17 0.0638270011294558 0.0661748517341859 0.833935832470131 0.0360623146662274
CS18 0.0938193393139076 0.130745071132267 0.707290056284312 0.0681455332695136
DK01 0.202526042697683 0.395232500075245 0.220644314471717 0.181597142755354
DK02 0.0234700949342765 0.0359191304566164 0.0244907358778917 0.916120038731215
DK03 0.196646068065186 0.394542296268591 0.206254975782218 0.202556659884004
DK04 0.00944428203055988 0.00510895069580364 0.00359875689394373 0.981848010379693
DK05 0.00808421886766001 0.0155050389218613 0.972508509854526 0.0039022323559525
DK06 0.00875890008083951 0.00417039662104919 0.0030829758195882 0.983987727478523
DK07 0.119327667330837 0.240045064608953 0.521617627818506 0.119009640241704
DK08 0.0523237262141151 0.0819085352808892 0.833018290665525 0.0327494478394709
DK09 0.0578770934289705 0.0794048314772437 0.830954817639413 0.031763257454373
DK10 0.200436926926931 0.409682550542233 0.203274733012683 0.186605789518153
DK11 0.0963746781205631 0.191178328536991 0.617218094321707 0.0952288990207387
DK12 0.0125465066116598 0.0191223009384977 0.00932060004077261 0.95901059240907
DK13 0.019128741633241 0.0344934087659658 0.0222498547775299 0.924127994823263
DK14 0.192115014099819 0.412877825193909 0.211609292671428 0.183397868034843
DK15 0.0145026764513054 0.0194601952756325 0.0199120698502902 0.946125058422772
DK16 0.0575509257604602 0.0593965574399689 0.85213983295639 0.0309126838431808
DK17 0.169399360376493 0.264557830024786 0.428337416820317 0.137705392778404
DK18 0.00249917034372151 0.0032487466355533 0.00206496506075247 0.992187117959973
DK19 0.202440381803324 0.376167066434987 0.235335191593598 0.186057360168091
DK20 0.166611814939813 0.279614652394888 0.41565164215585 0.13812189050945
DK21 0.128457591257194 0.226828201929119 0.338056732372053 0.306657474441633
DK22 0.191377817233997 0.384099091525354 0.234567014710627 0.189956076530023
DK23 0.0550711613531699 0.0576232925038757 0.0285004112197848 0.85880513492317
DK24 0.0452375900889626 0.0379111868036955 0.021043282902762 0.89580794020458
DK25 0.0549303341310973 0.0739824053123263 0.82021432455191 0.0508729360046664
DK26 0.163847315037634 0.326126732408799 0.17771973896212 0.332306213591447
DK27 0.0437637885632839 0.0312764612494055 0.016910933664058 0.908048816523253
